Tỉnh/Thành phố,2018,2019,2020,2021,2022,2023,Sơ bộ 2024
An Giang,73.65,73.74,73.77,73.71,73.71,74.07,74.61
Bà Rịa - Vũng Tàu,76.35,76.41,76.47,76.41,76.41,76.37,76.75
Bình Dương,75.98,74.75,74.75,74.75,74.75,74.75,74.75
Bình Phước,73.77,73.86,73.95,73.98,73.98,74.36,74.82
Bình Thuận,74.38,74.47,74.56,74.65,74.65,74.91,75.39
Bình Định,73.38,73.48,73.51,73.47,73.47,74.23,74.73
Bạc Liêu,74.55,74.62,74.72,74.61,74.61,75.09,75.60
Bắc Giang,73.31,73.40,73.45,73.42,73.42,74.40,74.35
Bắc Kạn,72.49,72.62,72.58,72.59,72.59,72.95,72.88
Bắc Ninh,74.26,74.34,74.05,74.26,74.26,75.00,75.61
Bắc Trung Bộ và duyên hải miền Trung,72.93,73.04,73.15,73.42,73.42,74.07,74.27
Bến Tre,75.57,75.66,75.61,75.66,75.66,75.77,76.23
Cao Bằng,70.46,70.60,70.56,71.36,71.36,72.31,72.24
Cà Mau,74.88,74.98,75.31,75.12,75.12,75.43,74.98
CẢ NƯỚC,73.49,73.60,73.66,73.64,73.64,74.50,74.70
Cần Thơ,75.80,75.90,75.97,75.80,75.80,75.89,76.31
Gia Lai,69.74,69.88,70.07,71.17,71.17,72.42,72.54
Huế,71.68,71.79,71.71,72.31,72.31,73.21,73.74
Hà Giang,67.74,67.88,68.40,68.78,68.78,71.48,71.41
Hà Nam,74.59,74.66,74.70,74.69,74.69,75.05,75.65
Hà Nội,75.40,75.47,75.47,75.66,76.04,76.13,76.63
Hà Tĩnh,72.67,72.77,72.59,72.81,72.81,73.36,73.89
Hòa Bình,72.57,72.66,72.60,72.69,72.69,73.36,73.30
Hưng Yên,74.50,74.59,74.70,74.66,74.66,75.00,75.61
Hải Dương,74.71,74.79,74.83,74.84,74.84,75.05,75.65
Hải Phòng,74.60,74.67,74.54,74.68,74.68,74.95,75.57
Hậu Giang,75.44,75.52,75.53,75.54,75.54,75.72,76.19
Khánh Hòa,73.79,73.87,73.52,73.93,73.93,74.36,74.84
Kiên Giang,74.37,74.46,74.45,74.44,74.44,74.66,75.17
Kon Tum,66.59,66.73,67.65,68.01,68.01,69.73,69.87
Lai Châu,65.66,65.83,66.69,67.90,67.90,69.82,65.83
Long An,75.68,75.76,75.61,75.75,76.12,76.03,76.44
Lào Cai,69.01,69.16,69.26,69.96,69.96,71.34,71.27
Lâm Đồng,72.94,73.04,73.29,73.27,73.27,73.81,73.91
Lạng Sơn,72.24,72.35,72.42,72.45,72.45,73.06,73.00
Nam Định,74.37,74.46,74.55,74.48,74.48,74.91,75.52
Nghệ An,72.78,72.88,73.09,73.15,73.15,73.55,74.08
Ninh Bình,73.66,73.75,74.17,74.25,74.25,74.44,75.06
Ninh Thuận,72.93,73.01,72.92,73.14,73.14,73.66,74.19
Phú Thọ,73.40,73.50,73.44,73.53,73.53,74.36,74.31
Phú Yên,73.37,73.46,73.57,73.52,73.52,73.90,74.42
Quảng Bình,72.72,72.11,72.65,72.86,72.86,73.14,73.67
Quảng Nam,72.84,72.94,73.04,73.10,73.10,73.51,74.04
Quảng Ngãi,72.40,72.51,72.37,72.53,72.53,73.17,73.71
Quảng Ninh,73.40,73.49,73.43,73.49,73.49,74.07,74.71
Quảng Trị,68.18,68.31,68.17,69.30,69.30,71.38,72.03
Sóc Trăng,74.15,74.23,74.35,74.29,74.29,74.61,75.12
Sơn La,70.78,70.90,70.96,70.94,70.94,73.43,73.38
Thanh Hóa,73.26,73.35,73.42,73.43,73.43,73.81,74.35
Thái Bình,75.35,75.43,74.91,75.41,75.41,75.43,76.01
Thái Nguyên,73.53,73.62,73.68,73.70,73.70,74.53,74.48
Tiền Giang,75.90,75.96,76.12,75.95,75.95,75.98,76.40
TP. Hồ Chí Minh,76.56,76.62,76.46,76.24,76.25,76.46,76.58
Trung du và miền núi phía Bắc,70.95,71.15,71.39,71.20,71.20,72.65,72.76
Trà Vinh,74.48,74.58,74.77,74.65,74.65,75.19,75.69
Tuyên Quang,72.15,72.25,72.28,72.18,72.18,73.02,72.96
Tây Nguyên,70.27,70.33,71.03,71.07,71.07,71.96,72.20
Tây Ninh,74.69,74.77,74.74,74.81,74.81,75.05,75.50
Vĩnh Long,75.42,75.48,75.57,75.42,75.42,75.67,76.14
Vĩnh Phúc,74.24,74.31,74.00,74.36,74.36,74.87,75.48
Yên Bái,69.54,69.68,69.56,69.66,69.66,71.69,71.61
Điện Biên,67.69,67.83,68.44,68.44,68.44,69.89,69.80
Đà Nẵng,76.04,76.10,76.27,76.18,76.18,76.27,76.66
Đông Nam Bộ,76.17,75.69,76.18,76.11,76.11,76.32,76.46
Đắk Lắk,70.44,70.55,70.99,71.42,71.42,71.93,72.04
Đắk Nông,69.92,70.04,70.12,70.29,70.29,71.62,71.74
Đồng bằng sông Cửu Long,74.86,74.96,74.92,75.04,75.04,75.58,75.75
Đồng bằng sông Hồng,74.72,74.81,74.84,75.16,75.16,75.72,75.91
Đồng Nai,76.60,76.67,76.30,76.26,76.26,76.27,76.64
Đồng Tháp,74.65,74.72,74.88,74.71,74.71,75.05,75.56